week,cases
2013-12-29,148
2014-01-05,531
2014-01-12,557
2014-01-19,803
2014-01-26,631
2014-02-02,804
2014-02-09,627
2014-02-16,767
2014-02-23,661
2014-03-02,662
2014-03-09,416
2014-03-16,280
2014-03-23,432
2014-03-30,415
2014-04-06,477
2014-04-13,195
2014-04-20,354
2014-04-27,135
2014-05-04,270
2014-05-11,273
2014-05-18,323
2014-05-25,212
2014-06-01,159
2014-06-08,530
2014-06-15,477
2014-06-22,377
2014-06-29,253
2014-07-06,350
2014-07-13,397
2014-07-20,130
2014-07-27,311
2014-08-03,133
2014-08-10,191
2014-08-17,380
2014-08-24,40
2014-08-31,41
2014-09-07,315
2014-09-14,287
2014-09-21,53
2014-09-28,359
2014-10-05,274
2014-10-12,405
2014-10-19,166
2014-10-26,251
2014-11-02,436
2014-11-09,527
2014-11-16,263
2014-11-23,475
2014-11-30,261
2014-12-07,478
2014-12-14,478
2014-12-21,83
2014-12-28,190
2015-01-04,180
2015-01-11,380
2015-01-18,411
2015-01-25,489
2015-02-01,505
2015-02-08,435
2015-02-15,485
2015-02-22,584
2015-03-01,767
2015-03-08,630
2015-03-15,818
2015-03-22,689
2015-03-29,728
2015-04-05,1404
2015-04-12,1624
2015-04-19,1761
2015-04-26,2002
2015-05-03,2220
2015-05-10,2154
2015-05-17,2421
2015-05-24,2179
2015-05-31,0
2015-06-07,1573
2015-06-14,3883
2015-06-21,1148
2015-06-28,1498
2015-07-05,1242
2015-07-12,721
2015-07-19,504
2015-07-26,536
2015-08-02,302
2015-08-09,451
2015-08-16,199
2015-08-23,353
2015-08-30,489
2016-01-03,158
2016-01-10,524
2016-01-17,523
2016-01-24,704
2016-01-31,772
2016-02-07,1109
2016-02-14,1338
2016-02-21,1126
2016-02-28,1332
2016-03-06,1334
2016-03-13,1260
2016-03-20,1134
2016-03-27,1075
2016-04-03,1208
2016-04-10,1468
2016-04-17,1637
2016-04-24,1422
2016-05-01,336
2016-05-08,1701
2016-05-15,613
2016-05-22,1235
2016-05-29,1382
2016-06-05,755
2016-06-12,864
2016-06-19,812
2016-06-26,401
2016-07-03,374
2016-07-10,346
2016-07-17,168
2016-07-24,50
2016-07-31,66
2016-08-07,193
2016-08-14,131
2016-08-21,108
2016-08-28,118
2016-09-04,207
2016-09-11,77
2016-09-18,60
2016-09-25,294
2016-10-02,45
2016-10-09,163
2016-10-16,498
2016-10-23,211
2016-10-30,170
2016-11-06,409
2016-11-13,300
2016-11-20,234
